CT_FIPS,PM25,OZONE,DSLPM,CANCER,RSEI_AIR,PTRAF,HI,EBLL,Freight,TRI,RMP,Psites,Waste,PWDis,CF,POC,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,CHD,Asthma,Disability,YoungAge,OldAge,LBW
17031700402,10.34902822,65.753,0.485908035,30,10397.59002,257.0610489,0.690508348,0.924808851,0.592126789,0,0,0.250525651,0,37.64958169,0.511050492,0.918332381,4.625928041,0.244743482,0.186464877,15.5,15.09111617,13.1,5.299979074,11.29994232,0.10508281,0.251570531,0.14106225,11.39972175
17031700501,10.31135397,65.67178,0.485485245,30,11388.76795,221.6341663,0.690308289,0.927556514,0.704992748,2209841.166,0,0.007930779,0,6.812623217,1.228631558,0.965946595,4.151652828,0.386544586,0.10198966,12.1,13.603041,4.2,4.999981495,10.90001596,0.17593608,0.157292809,0.196669667,7.800191849
17031700502,10.31795096,65.72329,0.484058985,30,9784.264772,208.7792135,0.680308546,0.931215966,0.67470461,0.004369421,0,0.175138398,0,31.17057622,0.034876526,0.93660642,12.5284738,0.204757859,0.102505695,5.5,8.614457831,1.6,5.799929985,10.6000504,0.080296128,0.230068337,0.226868087,9.600012618
17031710100,10.21772164,65.85125,0.468662638,30,6582.848695,152.8072544,0.580287997,3.566584368,0.122967873,989295.786,0,0.3743469,0.002404484,93.16724766,0.042630917,1,3.818181818,0.410351201,0.571818182,8.5,32.81853282,0,8.19990398,13.79999056,0.181818182,0.28,0.06,11.50075336
17031710200,10.24265562,65.84434,0.465232034,30,7278.315054,68.15375151,0.570294103,3.563952313,0.330538139,131295.4873,0,0.32552719,0,5.914851129,0.492665651,0.972936703,5.390292999,0.402192729,0.305300828,19.6,13.06941432,0.9,7.499875869,13.40028396,0.167524044,0.318496981,0.196823977,15.00109852
17031710300,10.2543011,65.76163,0.470155471,30,7763.029615,196.5608943,0.5702962,3.563952296,0.117611706,1052618.694,0,0.116676413,0.003284947,7.177275819,0.633893907,1,6.099935107,0.305502846,0.114116095,9.3,13.78446115,1,7.099940065,13.09993425,0.217391304,0.191434134,0.152498378,14.49993094
17031710400,10.27332356,65.70626,0.474069195,30,8904.16886,110.8334845,0.560309648,3.563303278,0.455985495,2329194.88,0,0.180461164,0.261336086,7.133848418,1.389319328,0.990739092,8.762243989,0.47001845,0.352092609,12.1,14.88898563,0.7,6.499978387,12.5999844,0.176847729,0.242564559,0.177738201,12.90021017
17031710500,10.27829836,65.76992,0.473719884,30,8578.760346,135.7689929,0.560309883,3.554981748,0.186537192,0.006303796,0,0.009920325,0.000319902,38.82855906,0.395513136,0.995944656,7.108778626,0.499001996,0.30798938,13.1,17.86600496,1.7,6.799960056,12.99994802,0.170324427,0.249045802,0.146708015,13.40016203
17031710600,10.26805068,65.81737,0.471834391,30,7718.301444,194.6366512,0.580292578,3.563952273,0.002807929,0.003207083,0,0.006719305,0,72.5299861,0.022671426,0.971490048,14.20118343,0.401523395,0.180742335,17.3,11.78571429,1.7,7.099930776,13.29992188,0.188273265,0.210866057,0.237762238,10.50106458
17031710700,10.26970329,65.85164,0.469795171,30,7526.273714,103.4502014,0.590288483,3.563952688,0.011425921,0.003733393,0,0.035406215,0,157.298964,0.044986774,0.995467875,7.784590776,0.346210996,0.293126868,13.6,20.48192771,0,7.599968569,12.89996723,0.134630765,0.219141562,0.194081578,11.8004049
17031710800,10.2489811,65.85805,0.467585365,30,6986.031421,129.7591319,0.610278924,3.563952433,0.136255165,359802.4722,0,1.032113289,0,175.3832761,0.077410564,0.998709677,7.462365591,0.507739938,0.261505376,19.4,36.96808511,0.9,7.999986571,13.10000479,0.203870968,0.237419355,0.181935484,13.5003615
17031710900,10.23734712,65.95146,0.489127143,30,6496.635458,197.7908324,0.740300884,3.561212488,0.663890757,6407741.262,0,1.629994911,0.004150086,225.6977043,0.530550029,1,3.632286996,0.397932817,0.379372197,11.8,12.71794872,0,6.500393618,13.39975873,0.144843049,0.367264574,0.093721973,13.4999554
17031711000,10.25720822,65.85445,0.486908781,30,6848.785716,153.27032,0.730273861,3.563951867,0.240761152,631097.5066,0,0.210734243,0,225.33075,0.122478961,0.981500253,11.27724278,0.386735573,0.212620375,11.3,23.56763142,0.8,7.700001375,13.19998439,0.227825646,0.279776989,0.146730867,14.90034103
17031711100,10.27224904,65.80944,0.498831587,30,7367.131094,212.3487809,0.620286806,3.56395286,0.06084279,0.002455686,0,0.001502167,0,220.2401047,0.003245953,1,10.84246317,0.321925134,0.218738194,13.5,26.71691792,1.4,6.800033573,11.80004057,0.13524745,0.224027201,0.17075935,15.9002399
17031711200,10.28652795,65.75411,0.497065017,30,8279.225398,149.1336046,0.570308737,3.546591474,0.331572567,0,0,0,0,186.4805193,0.049465024,0.995233366,8.639523337,0.306342016,0.091019173,14.6,14.18998818,6.2,7.599951365,12.30000103,0.169811321,0.186494538,0.203177756,14.50019694
17031711300,10.29704329,65.774,0.533380282,30,7677.943712,324.5220526,0.570277976,3.556705059,0.208333045,0,0,0.01782654,0,233.2224463,0,0.975866337,12.31435644,0.345642541,0.101485149,13.4,24.7043364,3.2,6.000113032,12.49991395,0.22029703,0.192450495,0.265470297,8.400500805
17031711400,10.26945178,65.81079,0.528487556,30,7029.548806,319.3886183,0.930242143,3.563821814,0.457863635,2716068.871,0,0.008469802,0,238.0814208,0.74099129,0.998519067,8.330248056,0.423529412,0.288411699,9.7,19.54545455,0.9,7.099959818,12.09991348,0.154387264,0.2850796,0.165124028,12.39999786
