Asthma,CHD,Disability,LBW,OldAge,YoungAge,NoIns,HBLI,LowInc,LowEd,Unemp,LingIso,Freight,PWDis,Waste,Psites,RMP,TRI,CF,CANCER,HI,OZONE,PM25,DSLPM,PTRAF,RSEI_AIR,EBLL,SenPop,SEFac,EnvCond,EnvExp,PopChar,PolBur,Index
0.0872,0.0948,0.1365,0.3439,0.1985,0.1593,0.3717,0.1871,0.4437,0.0607,0.4083,0.4336,0.4576,0.5499,0.0,0.5714,0.0,0.3338,0.6372,0.0,0.5461,0.9279,0.0708,0.2149,0.6056,0.2554,0.3375,0.17003333333333334,0.3175166666666666,0.3642714285714286,0.36977499999999996,0.24377499999999996,0.36794047619047615,0.0896946895833333
0.3552,0.1163,0.1504,0.2794,0.2491,0.263,0.2263,0.4033,0.1277,0.1327,0.1466,0.3338,0.4627,0.5487,0.0,0.445,0.0,0.2769,0.7168,0.0,0.4893,0.9204,0.0784,0.244,0.3426,0.2996,0.3363,0.23556666666666662,0.22840000000000002,0.3500142857142857,0.338825,0.23198333333333332,0.3425547619047619,0.07946699551587301
0.4349,0.2023,0.536,0.507,0.2111,0.0872,0.6675,0.2807,0.6157,0.464,0.3135,0.6814,0.0,0.3919,0.0,0.3552,0.0,0.0,0.1479,0.2174,0.4096,0.9482,0.0645,0.8319,0.6789,0.2453,0.335,0.32975000000000004,0.5037999999999999,0.12785714285714286,0.46635,0.416775,0.35351904761904757,0.14733790107142855
0.182,0.2516,0.1049,0.1429,0.5322,0.311,0.378,0.263,0.2314,0.3388,0.0379,0.5601,0.8913,0.7939,0.0,0.7636,0.0,0.9128,0.8748,0.2174,0.9595,0.9393,0.0569,0.1075,0.3274,0.2566,0.3603,0.2541,0.3015333333333334,0.6052,0.40311250000000004,0.2778166666666667,0.470475,0.13070579625
0.1568,0.2061,0.153,0.2882,0.3578,0.2326,0.3527,0.3262,0.0923,0.2149,0.2225,0.579,0.0,0.8154,0.0,0.7522,0.0,0.2149,0.4399,0.0,0.5322,0.8963,0.0973,0.2124,0.6612,0.3856,0.3578,0.2324166666666667,0.29793333333333333,0.3174857142857143,0.39285000000000003,0.265175,0.36772857142857146,0.09751242392857143
0.354,0.507,0.1922,0.4716,0.2668,0.7004,0.9469,0.7661,0.6283,0.5638,0.6435,0.8685,0.0,0.8685,0.0,0.512,0.0,0.2743,0.1934,0.0,0.6372,0.8925,0.0695,0.1656,0.6751,0.3641,0.3616,0.41533333333333333,0.7361833333333333,0.26402857142857145,0.39570000000000005,0.5757583333333334,0.35180952380952385,0.2025572650793651
0.1125,0.4855,0.1631,0.1972,0.7737,0.4071,0.6018,0.1403,0.4678,0.3464,0.5841,0.7155,0.0,0.9532,0.0,0.5904,0.0,0.5853,0.3236,0.0,0.2857,0.8887,0.0999,0.2035,0.1934,0.4147,0.3831,0.35651666666666665,0.47598333333333337,0.35035714285714287,0.30862500000000004,0.41625,0.3225357142857143,0.1342554910714286
0.0442,0.153,0.1315,0.4475,0.4905,0.4008,0.2971,0.1125,0.0152,0.3982,0.1757,0.5815,0.2301,0.6953,0.0,0.7472,0.0,0.3236,0.2705,0.0,0.6321,0.8799,0.0796,0.1884,0.6776,0.3211,0.354,0.27791666666666665,0.2633666666666667,0.3238142857142857,0.39158750000000003,0.27064166666666667,0.3689964285714286,0.09986580842261907
0.0771,0.0721,0.2212,0.0632,0.0417,0.1441,0.2415,0.1795,0.0948,0.0392,0.4412,0.3161,0.6877,0.603,0.0,0.9128,0.0,0.7661,0.5689,0.0,0.7927,0.9102,0.067,0.177,0.196,0.2731,0.3552,0.10323333333333333,0.21871666666666667,0.5055,0.3464,0.160975,0.3994333333333333,0.06429878083333333
0.048,0.1024,0.1846,0.0746,0.1972,0.2276,0.5095,0.2984,0.1694,0.1934,0.043,0.4728,0.3047,0.7067,0.0,0.8319,0.0,0.4083,0.5411,0.0,0.5449,0.8875,0.0885,0.2415,0.5499,0.3578,0.359,0.13906666666666667,0.2810833333333333,0.3989571428571429,0.3786375,0.21007499999999998,0.38541071428571433,0.08096515580357143
0.1732,0.1365,0.1783,0.1504,0.263,0.3894,0.2933,0.1707,0.1302,0.158,0.4121,0.3932,0.0,0.8369,0.0,0.8192,0.0,0.3211,0.5209,0.0,0.6346,0.8698,0.1176,0.2541,0.6561,0.4083,0.3856,0.21513333333333332,0.25958333333333333,0.35687142857142856,0.41576250000000003,0.23735833333333334,0.3961321428571429,0.09402526520833333
0.1757,0.2137,0.1985,0.3009,0.3085,0.1681,0.1757,0.1694,0.0619,0.2693,0.1517,0.5664,0.0,0.8521,0.0,0.6233,0.0,0.4096,0.3881,0.0,0.6435,0.8647,0.1277,0.3262,0.292,0.4134,0.3818,0.22756666666666667,0.23239999999999997,0.3247285714285714,0.38116249999999996,0.22998333333333332,0.36235119047619047,0.08333473462301587
0.1365,0.1113,0.2086,0.1062,0.598,0.0923,0.6726,0.6612,0.1037,0.0733,0.4463,0.4248,0.3009,0.7206,0.0,0.6435,0.0,0.67,0.6068,0.0,0.5398,0.8786,0.1087,0.2693,0.1795,0.3742,0.3565,0.20881666666666668,0.3969833333333333,0.42025714285714283,0.33832500000000004,0.3029,0.3656357142857143,0.11075105785714286
0.1087,0.0936,0.0544,0.048,0.0632,0.4551,0.2326,0.0493,0.0822,0.1429,0.2491,0.2491,0.5942,0.6473,0.0,0.3477,0.0,0.6485,0.7826,0.2174,0.6359,0.9014,0.1037,0.4867,0.3021,0.3881,0.1037,0.13716666666666666,0.1675333333333333,0.43147142857142856,0.392375,0.15234999999999999,0.40540714285714285,0.061763778214285706
0.1416,0.225,0.5904,0.086,0.6448,0.8597,0.0455,0.0367,0.0544,0.3072,0.1795,0.4791,0.3805,0.732,0.0,0.3375,0.0,0.7484,0.7193,0.2174,0.5411,0.8534,0.1201,0.5019,0.5386,0.421,0.1049,0.42458333333333337,0.18373333333333333,0.41681428571428575,0.4123,0.30415833333333336,0.41380476190476195,0.12586216670634923
0.1517,0.1985,0.2908,0.0796,0.3843,0.7105,0.1302,0.0923,0.1087,0.0657,0.091,0.3464,0.0,0.8432,0.0,0.3097,0.0,0.4273,0.4121,0.2174,0.6448,0.8407,0.1391,0.5221,0.6877,0.4475,0.1075,0.30256666666666665,0.13905,0.28461428571428565,0.45085,0.22080833333333333,0.3954380952380952,0.08731602674603174
0.0759,0.1441,0.0923,0.2149,0.0898,0.9077,0.1504,0.0354,0.0063,0.1138,0.1416,0.3464,0.3793,0.7155,0.6056,0.3338,0.0,0.5954,0.6625,0.2174,0.646,0.8053,0.1479,0.6485,0.5866,0.5209,0.1011,0.25411666666666666,0.13231666666666667,0.47030000000000005,0.4592125000000001,0.19321666666666665,0.4629083333333334,0.0894416051388889
0.0657,0.067,0.158,0.0961,0.3717,0.2984,0.0101,0.1353,0.0834,0.0,0.2819,0.0796,0.5917,0.6296,0.0,0.6625,0.0,0.7889,0.7649,0.2174,0.7143,0.8521,0.1327,0.6435,0.3692,0.4728,0.0936,0.17615,0.09838333333333332,0.49108571428571424,0.43694999999999995,0.13726666666666665,0.454995238095238,0.062455679682539664
0.0645,0.0771,0.129,0.3869,0.1542,0.3312,0.4501,0.0316,0.3097,0.0607,0.4159,0.3274,0.4374,0.6321,0.0,0.2604,0.0,0.4336,0.4968,0.2174,0.7965,0.8281,0.1454,0.6713,0.0177,0.5626,0.0923,0.19048333333333334,0.2659,0.3229,0.41641249999999996,0.22819166666666668,0.38524166666666665,0.08790893798611112
0.0721,0.091,0.0367,0.0733,0.0569,0.9115,0.0,0.1315,0.0013,0.158,0.2427,0.1922,0.2895,0.6751,0.6271,0.1593,0.0,0.3274,0.2895,0.2174,0.775,0.8192,0.1568,0.6839,0.0506,0.6688,0.0961,0.20691666666666667,0.12095,0.3382714285714285,0.43347500000000005,0.16393333333333332,0.4017404761904762,0.0658586553968254
0.2478,0.129,0.11,0.0405,0.3603,0.5853,0.1252,0.0822,0.0051,0.1972,0.1732,0.4083,0.1707,0.7269,0.7168,0.2162,0.0,0.4147,0.2364,0.2174,0.8091,0.7965,0.1669,0.6903,0.7206,0.7686,0.0973,0.24548333333333336,0.16519999999999999,0.3545285714285714,0.5333375,0.20534166666666667,0.4737345238095238,0.09727743667658731
